Noise,N,0
0.09689909045251084,100,2.604105333937328
0.05313906292220436,100,1.6864309858199005
0.010501746730355397,100,1.753093538902747
0.1121207812810688,200,1.7768110229613332
0.05281701353780674,200,2.2399674728907146
0.011021644976536763,200,2.1803627459185613
0.10510484094970331,400,2.3516898080601774
0.050496404120301,400,2.1439073834869005
0.010452490384479731,400,1.8705438483541803
0.10103236917553071,800,2.084311764952922
0.049656108376438926,800,1.7541084267971354
0.010125426537555157,800,1.7185975077647615
0.10034167000596704,1600,1.7075584011227225
0.052114340906432806,1600,1.6936222782794172
0.010559179023048289,1600,1.5265386743587313
