Noise,N,0
0.09689909045251084,100,0.08927040443109607
0.05313906292220436,100,1e-06
0.010501746730355397,100,0.006534757683767043
0.1121207812810688,200,0.0339957624520247
0.05281701353780674,200,0.022016094396410456
0.011021644976536763,200,0.008827442309224961
0.10510484094970331,400,0.02758711787242576
0.050496404120301,400,0.016229701017024242
0.010452490384479731,400,0.02246348286075621
0.10103236917553071,800,0.02484119619970936
0.049656108376438926,800,0.010801531974109735
0.010125426537555157,800,0.011374562163791516
0.10034167000596704,1600,0.02221886952950406
0.052114340906432806,1600,0.013957336777573649
0.010559179023048289,1600,0.007974166044790568
