Noise,N,0
0.0,100,0.5639794182908917
0.025,100,0.6187800125017922
0.0,200,0.5158879062677123
0.025,200,0.6124997508330032
0.0,400,657664.4123710471
0.025,400,0.5696539969411915
0.0,800,382377.4777344613
0.025,800,12689.162728730935
0.0,1600,0.4228966011224608
0.025,1600,0.3923181618689001
