Noise,N,0
0.0000,100,0.5384
0.0010,100,0.5097
0.0000,200,800915.7085
0.0010,200,0.4905
0.0000,400,0.4518
0.0010,400,0.4283
0.0000,800,196414.3332
0.0010,800,439692.1595
0.0000,1600,0.3936
0.0010,1600,0.3761
