Noise,N,0
0.0,100,-409.7127630856594
0.025,100,-158.40396868486926
0.0,200,-883.608640751906
0.025,200,-345.46111185583925
0.0,400,-572.1365883804561
0.025,400,-723.3951708449557
0.0,800,-1138.5345219942426
0.025,800,-1326.8861624390192
0.0,1600,-7627.414135735491
0.025,1600,-3016.5740635288485
