Noise,N,0,1,2
0.0000,100,0.1143,0.4957,0.4554
0.0250,100,0.2667,0.4981,0.2695
0.0000,200,0.2105,0.1982,0.0931
0.0250,200,0.1611,0.2515,0.2151
0.0000,400,0.1124,0.2620,0.5566
0.0250,400,0.1981,0.1744,0.1576
0.0000,800,0.1338,0.2323,0.1957
0.0250,800,0.1441,0.2689,0.2501
0.0000,1600,0.1350,0.2818,0.2618
0.0250,1600,0.0776,0.2848,0.2632
