Noise,N,3
0.0000,100,0.6747
0.0010,100,0.6890
0.0000,200,0.7807
0.0010,200,0.7914
0.0000,400,0.6972
0.0010,400,0.7417
0.0000,800,0.5619
0.0010,800,0.6712
0.0000,1600,0.6554
0.0010,1600,0.8504
