Noise,N,0
0.001,100,-111.78113548849602
0.0,100,-121.69834983141192
0.001,200,-213.6800304122981
0.0,200,-173.4686152634416
0.001,400,-349.57442741183985
0.0,400,-295.91327783065503
0.001,800,-589.6162478991901
0.0,800,-484.8727058656568
0.001,1600,-393.8711174694103
0.0,1600,-520.2430166421497
