Noise,N,0,1,2,3,4
0.0000,100,0.6034,0.0209,0.0157,0.0000,0.0000
0.0250,100,0.5560,0.1044,0.0544,0.0023,0.0008
0.0000,200,0.5056,0.0839,0.0552,0.0076,0.0324
0.0250,200,0.4474,0.0643,0.0523,0.0433,0.0246
0.0000,400,0.4477,0.1295,0.0364,0.0230,0.0068
0.0250,400,0.6577,0.0046,0.0025,0.0040,0.0057
0.0000,800,0.4385,0.0982,0.0459,0.0116,0.0050
0.0250,800,0.4415,0.0976,0.0714,0.0001,0.0063
0.0000,1600,0.4406,0.2126,0.0003,0.0181,0.0008
0.0250,1600,0.4438,0.1584,0.0269,0.0038,0.0032
