Noise,N,0,1,2
0.0,100,0.11428325938337253,0.4956611382706212,0.4553877091438592
0.025,100,0.2666739171675832,0.4980999932345748,0.26952876551362936
0.0,200,0.21046322583272029,0.1982002546030175,0.09312736094403293
0.025,200,0.16107168127065108,0.2515128545981381,0.21509818775324105
0.0,400,0.1123981919825603,0.2620000569564049,0.5566027587260365
0.025,400,0.19805937218340847,0.1743769194254658,0.1575852781230926
0.0,800,0.13376201657889938,0.232278708474002,0.19568768924942906
0.025,800,0.14411564330767032,0.2688734464066298,0.2501403523798105
0.0,1600,0.1350235106921447,0.2818237299952088,0.2618494089707049
0.025,1600,0.07755297650730184,0.28475634677888034,0.2631573998188895
